multiplier,growth,n,one,split,d_wei,rel,exact
1500000000000000000000000000,0.05,10,1075929830425757834504359303,1075929830425757834504359276,-27,-2.50946e-26,1075929830425757834504359313.668
1500000000000000000000000000,0.05,100,1075929830425757834504359303,1075929830425757834504358895,-408,-3.79207e-25,1075929830425757834504359313.668
1500000000000000000000000000,0.05,1000,1075929830425757834504359303,1075929830425757834504354600,-4703,-4.3711e-24,1075929830425757834504359313.668
1500000000000000000000000000,0.05,8760,1075929830425757834504359303,1075929830425757834504332917,-26386,-2.45239e-23,1075929830425757834504359313.668
1500000000000000000000000000,0.05,30000,1075929830425757834504359303,1075929830425757834504312935,-46368,-4.30957e-23,1075929830425757834504359313.668
1500000000000000000000000000,0.1,1,1153689732987166710423686842,1153689732987166710423686842,0,0.0,1153689732987166710423686852.5661
1500000000000000000000000000,0.1,2,1153689732987166710423686842,1153689732987166710423686836,-6,-5.20071e-27,1153689732987166710423686852.5661
1500000000000000000000000000,0.1,10,1153689732987166710423686842,1153689732987166710423686773,-69,-5.98081e-26,1153689732987166710423686852.5661
1500000000000000000000000000,0.1,100,1153689732987166710423686842,1153689732987166710423686265,-577,-5.00134e-25,1153689732987166710423686852.5661
1500000000000000000000000000,0.1,1000,1153689732987166710423686842,1153689732987166710423683533,-3309,-2.86819e-24,1153689732987166710423686852.5661
1500000000000000000000000000,0.1,8760,1153689732987166710423686842,1153689732987166710423654085,-32757,-2.83932e-23,1153689732987166710423686852.5661
1500000000000000000000000000,0.1,30000,1153689732987166710423686842,1153689732987166710423662502,-24340,-2.10975e-23,1153689732987166710423686852.5661
1500000000000000000000000000,0.25,1,1397542485937368560255733523,1397542485937368560255733523,0,0.0,1397542485937368560255733542.957
1500000000000000000000000000,0.25,2,1397542485937368560255733523,1397542485937368560255733510,-13,-9.30204e-27,1397542485937368560255733542.957
1500000000000000000000000000,0.25,10,1397542485937368560255733523,1397542485937368560255733449,-74,-5.29501e-26,1397542485937368560255733542.957
1500000000000000000000000000,0.25,100,1397542485937368560255733523,1397542485937368560255732776,-747,-5.3451e-25,1397542485937368560255733542.957
1500000000000000000000000000,0.25,1000,1397542485937368560255733523,1397542485937368560255727849,-5674,-4.05998e-24,1397542485937368560255733542.957
1500000000000000000000000000,0.25,8760,1397542485937368560255733523,1397542485937368560255691245,-42278,-3.02517e-23,1397542485937368560255733542.957
1500000000000000000000000000,0.25,30000,1397542485937368560255733523,1397542485937368560255656246,-77277,-5.52949e-23,1397542485937368560255733542.957
1500000000000000000000000000,0.5,1,1837117307087383573647963032,1837117307087383573647963032,0,0.0,1837117307087383573647963056.0294
1500000000000000000000000000,0.5,2,1837117307087383573647963032,1837117307087383573647963012,-20,-1.08866e-26,1837117307087383573647963056.0294
1500000000000000000000000000,0.5,10,1837117307087383573647963032,1837117307087383573647962911,-121,-6.58641e-26,1837117307087383573647963056.0294
1500000000000000000000000000,0.5,100,1837117307087383573647963032,1837117307087383573647961821,-1211,-6.59185e-25,1837117307087383573647963056.0294
1500000000000000000000000000,0.5,1000,1837117307087383573647963032,1837117307087383573647956955,-6077,-3.3079e-24,1837117307087383573647963056.0294
1500000000000000000000000000,0.5,8760,1837117307087383573647963032,1837117307087383573647914481,-48551,-2.64278e-23,1837117307087383573647963056.0294
1500000000000000000000000000,0.5,30000,1837117307087383573647963032,1837117307087383573647752120,-210912,-1.14806e-22,1837117307087383573647963056.0294
2000000000000000000000000000,0.01,1,1020100000000000000420496970,1020100000000000000420496970,0,0.0,1020100000000000000420496970.5768
